year,month,PCODE,division,rfh_monthly,rfh_avg_monthly,rfq_mean,r1h_monthly,r3h_monthly,rice_usd_per100kg,flour_usd_per100kg,palmoil_usd_per100kg,ext_debt_total_usd,ext_debt_pct_gni,debt_service_pct_exports
1998,1,BD10,Barisal,11.5401846,1.78302885,101.92585833333334,33.6289863,42.46148566666667,,,,15507392996.3,30.16083573981,10.4164807954076
1998,1,BD20,Chittagong,6.695528100000001,1.9678718333333334,103.74119833333333,25.9457643,51.08055733333333,,,,15507392996.3,30.16083573981,10.4164807954076
1998,1,BD30,Dhaka,11.4447514,2.7538060666666664,113.228505,26.9751395,52.76197166666666,,,,15507392996.3,30.16083573981,10.4164807954076
1998,1,BD40,Khulna,20.383037,3.3140902333333333,140.08867166666667,37.556774,49.270863999999996,,,,15507392996.3,30.16083573981,10.4164807954076
1998,1,BD45,Mymensingh,14.345646200000001,3.320140766666667,115.92001333333333,29.7625324,42.74054433333333,,,,15507392996.3,30.16083573981,10.4164807954076
1998,1,BD50,Rajshahi,18.7569655,3.8231166333333335,126.46339666666667,36.565015,48.27192866666667,,,,15507392996.3,30.16083573981,10.4164807954076
1998,1,BD55,Rangpur,10.498287699999999,3.1630327333333335,103.537555,25.5136975,36.63698633333333,,,,15507392996.3,30.16083573981,10.4164807954076
1998,1,BD60,Sylhet,10.3092551,2.9707298333333334,104.853738,31.248306,44.668924000000004,,,,15507392996.3,30.16083573981,10.4164807954076
1998,2,BD10,Barisal,40.3675887,6.098878666666667,105.72897666666665,89.877204,36.26952266666667,,,,15507392996.3,30.16083573981,10.4164807954076
1998,2,BD20,Chittagong,11.827783,4.607612,92.94885333333333,31.391056999999996,36.155725,,,,15507392996.3,30.16083573981,10.4164807954076
1998,2,BD30,Dhaka,15.276243000000001,5.780570933333333,93.44233866666667,44.91989,39.21224766666666,,,,15507392996.3,30.16083573981,10.4164807954076
1998,2,BD40,Khulna,29.310533399999997,6.6622892333333334,126.7854,82.32147599999999,51.97081566666666,,,,15507392996.3,30.16083573981,10.4164807954076
1998,2,BD45,Mymensingh,11.0316624,5.198827333333333,85.01360466666667,44.83905,35.41424666666666,,,,15507392996.3,30.16083573981,10.4164807954076
1998,2,BD50,Rajshahi,13.695047,4.3202958,102.49470666666666,52.5,36.24097066666667,,,,15507392996.3,30.16083573981,10.4164807954076
1998,2,BD55,Rangpur,8.0719178,3.2999619,92.85393499999999,30.957192,26.39611933333333,,,,15507392996.3,30.16083573981,10.4164807954076
1998,2,BD60,Sylhet,14.575621,8.585678833333334,72.46201333333333,44.83973,40.50489033333333,,,,15507392996.3,30.16083573981,10.4164807954076
1998,3,BD10,Barisal,290.459555,16.542582,225.27064333333337,460.24349,97.29161133333332,,,,15507392996.3,30.16083573981,10.4164807954076
1998,3,BD20,Chittagong,94.888679,16.927381333333333,149.26795666666666,146.112276,67.81636533333334,,,,15507392996.3,30.16083573981,10.4164807954076
1998,3,BD30,Dhaka,132.88397400000002,19.423818,176.3412033333333,200.30524200000002,90.73342933333333,,,,15507392996.3,30.16083573981,10.4164807954076
1998,3,BD40,Khulna,140.292748,12.672837433333333,266.6575833333333,234.20931299999998,118.02918,,,,15507392996.3,30.16083573981,10.4164807954076
1998,3,BD45,Mymensingh,82.047493,17.215039666666666,133.79080333333334,132.67809799999998,69.09322900000001,,,,15507392996.3,30.16083573981,10.4164807954076
1998,3,BD50,Rajshahi,65.414862,9.224423833333333,171.20000333333334,106.408665,65.15789333333333,,,,15507392996.3,30.16083573981,10.4164807954076
1998,3,BD55,Rangpur,64.7962352,9.366571566666666,155.38269666666667,88.54109700000001,48.337329000000004,,,,15507392996.3,30.16083573981,10.4164807954076
1998,3,BD60,Sylhet,195.277657,39.48435,133.13361,281.5079,119.19865,,,,15507392996.3,30.16083573981,10.4164807954076
1998,4,BD10,Barisal,372.65244,36.8592905,149.13199,1087.17789,272.8831,,,,15507392996.3,30.16083573981,10.4164807954076
1998,4,BD20,Chittagong,237.74881,43.162226000000004,165.67557666666667,553.294,243.59911,,,,15507392996.3,30.16083573981,10.4164807954076
1998,4,BD30,Dhaka,228.529,49.21579333333333,144.67901333333333,637.5593799999999,294.26149333333336,,,,15507392996.3,30.16083573981,10.4164807954076
1998,4,BD40,Khulna,97.98632,24.478598333333334,121.33101133333334,392.59507,236.37528,,,,15507392996.3,30.16083573981,10.4164807954076
1998,4,BD45,Mymensingh,243.15304,58.70340133333334,129.0409566666667,556.22167,244.57959000000002,,,,15507392996.3,30.16083573981,10.4164807954076
1998,4,BD50,Rajshahi,86.294118,24.087564999999998,112.89145666666667,263.109891,140.67285666666666,,,,15507392996.3,30.16083573981,10.4164807954076
1998,4,BD55,Rangpur,128.66438399999998,34.23382833333333,119.73179799999998,340.503425,153.33390333333332,,,,15507392996.3,30.16083573981,10.4164807954076
1998,4,BD60,Sylhet,429.553036,112.07489,122.26588900000002,1077.6433200000001,467.99694999999997,,,,15507392996.3,30.16083573981,10.4164807954076
1998,5,BD10,Barisal,502.022927,84.7803975,96.71146649999999,1338.2305700000002,480.94201,,,,15507392996.3,30.16083573981,10.4164807954076
1998,5,BD20,Chittagong,399.899135,101.23712666666667,117.65141833333332,893.25879,530.88834,,,,15507392996.3,30.16083573981,10.4164807954076
1998,5,BD30,Dhaka,347.45027400000004,93.88258333333333,118.606275,863.99585,567.2868433333333,,,,15507392996.3,30.16083573981,10.4164807954076
1998,5,BD40,Khulna,146.641593,57.69456,88.04504866666666,410.40494,345.7364666666667,,,,15507392996.3,30.16083573981,10.4164807954076
1998,5,BD45,Mymensingh,502.968353,132.60428,121.179665,1159.19265,616.0308233333334,,,,15507392996.3,30.16083573981,10.4164807954076
1998,5,BD50,Rajshahi,237.625391,61.609544666666665,126.66166,545.37773,304.9654233333333,,,,15507392996.3,30.16083573981,10.4164807954076
1998,5,BD55,Rangpur,334.910977,99.14111166666667,112.36739333333333,801.42294,410.15584999999993,,,,15507392996.3,30.16083573981,10.4164807954076
1998,5,BD60,Sylhet,611.546287,193.22137,99.579679,1512.82611,957.3258,,,,15507392996.3,30.16083573981,10.4164807954076
1998,6,BD10,Barisal,436.029241,148.05747333333332,50.88610983333333,1457.01081,647.0698783333333,,,,15507392996.3,30.16083573981,10.4164807954076
1998,6,BD20,Chittagong,412.436737,186.69703,76.70003166666667,1525.2797,990.6108533333335,,,,15507392996.3,30.16083573981,10.4164807954076
1998,6,BD30,Dhaka,178.733427,111.77923666666668,56.36634866666666,815.5304100000001,772.3618333333334,,,,15507392996.3,30.16083573981,10.4164807954076
1998,6,BD40,Khulna,167.38714199999998,99.46610533333335,57.37804933333333,447.24488999999994,416.74829,,,,15507392996.3,30.16083573981,10.4164807954076
1998,6,BD45,Mymensingh,301.95515,155.70759,66.45181766666667,1249.5778599999999,988.3307,,,,15507392996.3,30.16083573981,10.4164807954076
1998,6,BD50,Rajshahi,211.47987,91.82065833333333,76.70345333333334,642.72136,483.7363266666666,,,,15507392996.3,30.16083573981,10.4164807954076
1998,6,BD55,Rangpur,421.20547,149.45222333333334,93.342558,1141.31677,761.0810299999999,,,,15507392996.3,30.16083573981,10.4164807954076
1998,6,BD60,Sylhet,441.374714,227.18068333333335,66.23562866666667,1820.9751700000002,1470.4814999999999,,,,15507392996.3,30.16083573981,10.4164807954076
1998,7,BD10,Barisal,1141.3215,182.04137,105.04670083333333,2964.1797500000002,959.9035183333334,,,,15507392996.3,30.16083573981,10.4164807954076
1998,7,BD20,Chittagong,633.73074,216.98833666666667,98.49006833333333,1643.55845,1354.0323333333333,,,,15507392996.3,30.16083573981,10.4164807954076
1998,7,BD30,Dhaka,429.906075,127.98850333333333,111.82954766666667,937.74863,872.4249,,,,15507392996.3,30.16083573981,10.4164807954076
1998,7,BD40,Khulna,372.45554,124.36915666666665,101.75569533333334,957.07934,604.90971,,,,15507392996.3,30.16083573981,10.4164807954076
1998,7,BD45,Mymensingh,474.37993600000004,158.60448666666667,99.83679333333333,1172.32976,1193.7001666666667,,,,15507392996.3,30.16083573981,10.4164807954076
1998,7,BD50,Rajshahi,389.45975300000003,113.26965833333334,116.12705766666666,967.68728,718.59548,,,,15507392996.3,30.16083573981,10.4164807954076
